unique_key,gmap_category,Name,Full_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
The Brimsham Park51.5513214-2.4112137,bars clubs,The Brimsham Park,"Lark Rise, Yate, Bristol BS37 7PJ",Yate,Bristol,BS37 7PJ,"HH2Q+GG Yate, Bristol",sizzlingpubs.co.uk,01454 315895,,51.5513214,-2.4112137,No,Yes,Bar & grill,3.6,383 reviews,,47+ Photos,https://lh5.googleusercontent.com/p/AF1QipPSSA2tYXdSJTASseNGczPJh0ntvMrsXzln-sWR=w408-h306-k-no,,10am–11pm,10am–11pm,10am–11pm,10am–11pm,10am–12am,10am–12am,10am–11pm,"https://www.google.com/maps/place/The+Brimsham+Park/@51.5513214,-2.4812515,12z/data=!4m8!1m2!2m1!1sbs17+bars!3m4!1s0x48719b8b16cfc6c7:0xc13c8c8bf2d64fef!8m2!3d51.5513214!4d-2.4112137?hl=en"
Ring O Bells51.5228145-2.4701551,bars clubs,Ring O Bells,"Henfield Rd, Coalpit Heath, Bristol BS36 2TF",Coalpit Heath,Bristol,BS36 2TF,"GGFH+4W Coalpit Heath, Bristol",,01454 772818,,51.5228145,-2.4701551,No,No,Pub,4.3,58 reviews,,7 Photos,https://lh5.googleusercontent.com/p/AF1QipO9puD98a8VwkwZ8d0v-8KWwTXfmADtduc3_7zT=w408-h725-k-no,,11am–11pm,11am–11pm,11am–11pm,11am–11pm,11am–12am,11am–12am,12–10:30pm,"https://www.google.com/maps/place/Ring+O+Bells/@51.437251,-2.644528,12z/data=!4m8!1m2!2m1!1sbs17+bars!3m4!1s0x48719ae9489597cf:0x6b960921d4890f6d!8m2!3d51.5228145!4d-2.4701551?hl=en"
The Willy Wicket51.504575-2.489605,bars clubs,The Willy Wicket,"Wick Wick Close, Emersons Green, Bristol BS36 1DP",Emersons Green,Bristol,BS36 1DP,"GG36+R5 Emersons Green, Bristol",vintageinn.co.uk,0117 956 7308,,51.504575,-2.489605,No,Yes,Pub,3.8,587 reviews,,116+ Photos,https://lh5.googleusercontent.com/p/AF1QipNTwwm1bnVJRIdzlUajAtlHk9WsYMg5SYWcUddt=w408-h216-k-no,,11:30am–11pm,11:30am–11pm,11:30am–11pm,11:30am–11pm,11:30am–11pm,11am–11pm,11am–10:30pm,"https://www.google.com/maps/place/The+Willy+Wicket/@51.437251,-2.644528,12z/data=!4m8!1m2!2m1!1sbs17+bars!3m4!1s0x48719aa2cd5c1295:0xc087c85f02553e4!8m2!3d51.504575!4d-2.489605?hl=en"
The New Inn51.5358969-2.4556126,bars clubs,The New Inn,"Badminton Rd, Frampton Cotterell, Bristol BS36 2NT",Frampton Cotterell,Bristol,BS36 2NT,"GGPV+9Q Frampton Cotterell, Bristol",newinn-mayshill.co.uk,01454 773161,,51.5358969,-2.4556126,No,No,Pub,4.5,305 reviews,,37 Photos,https://lh5.googleusercontent.com/p/AF1QipOtyFo5YGJUPKP5owrEovmqFXo01bWwIwyr7qno=w408-h544-k-no,,"11:45am–2:30pm, 5:30–10:30pm","11:45am–2:30pm, 5:30–10:30pm","11:45am–2:30pm, 5:30–10:30pm","11:45am–2:30pm, 5:30–10:30pm",11:45am–11pm,11:45am–11pm,12–10pm,"https://www.google.com/maps/place/The+New+Inn/@51.5358969,-2.5256504,12z/data=!4m8!1m2!2m1!1sbs17+bars!3m4!1s0x48719a535d788bb1:0x76552e8b8186092c!8m2!3d51.5358969!4d-2.4556126?hl=en"
The White Horse51.509036-2.513198,bars clubs,The White Horse,"Bristol Rd, Winterbourne, Bristol BS16 1RY",Winterbourne,Bristol,BS16 1RY,"GF5P+JP Winterbourne, Bristol",whitehorsehambrook.com,0117 957 0671,info@whitehorsehambrook.com,51.509036,-2.513198,No,Yes,Pub,4.5,303 reviews,,81+ Photos,https://lh5.googleusercontent.com/p/AF1QipOu4nQcBkLDIsDHefwRZoSO_SBbzz95J8TxKWjd=w411-h200-k-no,,5–11pm,12–11pm,12–11pm,12–11pm,12–11pm,12–11pm,12–8pm,"https://www.google.com/maps/place/The+White+Horse/@51.437251,-2.644528,12z/data=!4m8!1m2!2m1!1sbs17+bars!3m4!1s0x487190136e15f7cf:0x49bcefdff7508631!8m2!3d51.509036!4d-2.513198?hl=en"
Woodspring Golf & Country Club51.415391-2.645272,bars clubs,Woodspring Golf & Country Club,"Yanley Ln, Long Ashton, Bristol BS41 9LR",Long Ashton,Bristol,BS41 9LR,C983+5V Bristol,woodspring-golf.com,01275 394378,info@woodspring-golf.com,51.415391,-2.645272,No,Yes,Golf club,4.2,105 reviews,,95+ Photos,https://lh5.googleusercontent.com/p/AF1QipPKGiwqtXxGBFn1Ak65MI3LX9Zsyc--y6gEopMk=w408-h230-k-no,,7:30am–6pm,7:30am–6pm,7:30am–6pm,7:30am–6pm,7:30am–6pm,7am–6pm,7am–6pm,"https://www.google.com/maps/place/Woodspring+Golf+%26+Country+Club/@51.4371675,-2.6445281,12z/data=!4m8!1m2!2m1!1sbs18+bars+clubs!3m4!1s0x48718c89e62101f1:0xe2a3aa16c5795448!8m2!3d51.415391!4d-2.645272?hl=en"
Stockwood Vale Golf Club Bristol51.4186249-2.527698,bars clubs,Stockwood Vale Golf Club Bristol,"Stockwood Ln, Keynsham, Bristol BS31 2ER",Keynsham,Bristol,BS31 2ER,"CF9C+CW Keynsham, Bristol",stockwoodvale.com,0117 986 6505,info@stockwoodvale.com,51.4186249,-2.527698,No,Yes,Golf club,4.3,102 reviews,,45+ Photos,https://lh5.googleusercontent.com/p/AF1QipP7_haWK1S7NCovUlHbjaO1JdPqc0TaSJaNRj48=w408-h229-k-no,,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,7:30am–8pm,7:30am–8pm,"https://www.google.com/maps/place/Stockwood+Vale+Golf+Club+Bristol/@51.4371675,-2.6445281,12z/data=!4m8!1m2!2m1!1sbs18+bars+clubs!3m4!1s0x48718f3a3030f5af:0xae5e1aba04184740!8m2!3d51.4186249!4d-2.527698?hl=en"
Long Ashton Golf Club51.4368823-2.6716553,bars clubs,Long Ashton Golf Club,"Clevedon Rd, Long Ashton, Bristol BS41 9DW",Long Ashton,Bristol,BS41 9DW,"C8PH+Q8 Long Ashton, Bristol",longashtongolfclub.co.uk,01275 392229,,51.4368823,-2.6716553,No,Yes,Golf club,4.2,13 reviews,,90+ Photos,https://lh5.googleusercontent.com/p/AF1QipMBSZGvOweKOAfOcnLrw9Mi-5qvmx83sj_jZIuU=w408-h270-k-no,,8:30am–6pm,8:30am–6pm,8:30am–6pm,8:30am–6pm,8:30am–6pm,8:30am–6pm,8:30am–6pm,"https://www.google.com/maps/place/Long+Ashton+Golf+Club/@51.4371675,-2.6445281,12z/data=!4m8!1m2!2m1!1sbs18+bars+clubs!3m4!1s0x48718ce7a37ce9a5:0xb7353d15baf8d469!8m2!3d51.4368823!4d-2.6716553?hl=en"
Begbrook Social Club51.491053-2.5367949,bars clubs,Begbrook Social Club,"Frenchay Park Rd, Bristol BS16 1HY",Frenchay Park Rd,Bristol,BS16 1HY,FFR7+C7 Bristol,,0117 939 6615,,51.491053,-2.5367949,No,No,Social club,4.1,60 reviews,,18 Photos,https://lh5.googleusercontent.com/p/AF1QipNUWbxJp29RzcrVkLeXiY4xLUwmqlXkB2p0TcL5=w408-h544-k-no,,7–11pm,7–11pm,7–11pm,7–11pm,7–11:30pm,2–11:30pm,12–11pm,"https://www.google.com/maps/place/Begbrook+Social+Club/@51.491053,-2.6068327,12z/data=!4m8!1m2!2m1!1sbs18+bars+clubs!3m4!1s0x487190263ab94d6d:0x487d517da25415d8!8m2!3d51.491053!4d-2.5367949?hl=en"
Marco Pierre White Steakhouse Bar & Grill Bristol51.3812738-2.8083,bars clubs,Marco Pierre White Steakhouse Bar & Grill Bristol,"Frost Hill, Bristol BS49 5AD",Frost Hill,Bristol,BS49 5AD,"95JR+GM Yatton, Bristol",mpwrestaurants.co.uk,01934 839019,no-mpw-email@brookfielddigital.co.uk,51.3812738,-2.8083,No,Yes,Steak house,3.8,82 reviews,,79+ Photos,//lh6.googleusercontent.com/proxy/_KUKxr0KTKwjwbRXVaY4I5hZVs_VsiA188ZEzbMSRNGqUNRH9YsydsM1BUCEtD-2g8hk2g3ilxM01mTfY9cRMJCl2rEUIoTV-Tkc9KlV0d1JvowqThEn6d2CY5sJBVSFu4YpVFqfpc2zJaHy7Iu9NPtK-fIiQXM=w408-h272-k-no,,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–9pm,"https://www.google.com/maps/place/Marco+Pierre+White+Steakhouse+Bar+%26+Grill+Bristol/@51.3812738,-2.8783378,12z/data=!4m8!1m2!2m1!1sbs18+bars+clubs!3m4!1s0x4871f6bf5d5d6e47:0x28485888725b675d!8m2!3d51.3812738!4d-2.8083?hl=en"
