,id,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL,unique ID
bs4,100,The Pasty Shop,"36 Station Approach, Bristol BS1 6QS",,36 Station Approach,Bristol,BS1 6QS,CCX9+RQ Bristol,thepastyshop.com,,,51.4496097,-2.580502,No,No,Sandwich shop,2.4,16 reviews,,5 Photos,https://lh5.googleusercontent.com/p/AF1QipOdp-RxjvXWNHS-mv-KBMokptE1PXotRkBjf12X=w408-h229-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Pasty+Shop/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e637c8f9b33:0xbc9e5cc43c8912a!8m2!3d51.4496097!4d-2.580502?hl=en",The Pasty Shop51.4496097-2.580502
bs4,98,Salt & Pepper,"139 Lawrence Hill, Bristol BS5 0BT",,139 Lawrence Hill,Bristol,BS5 0BT,FC5M+6P Bristol,saltandpepperbristol.co.uk,0117 329 6200,restaurant@saltandpepperbristol.co.uk,51.4580895,-2.565723,No,Yes,Polish restaurant,4.5,198 reviews,,70+ Photos,https://lh5.googleusercontent.com/p/AF1QipNUbxwBxFEwkqkdSfAsYNfXyBDyse6CEgv_nK2R=w408-h306-k-no,,Closed,1–9pm,1–9pm,1–9pm,1–9pm,1–10pm,1–8pm,"https://www.google.com/maps/place/Salt+%26+Pepper/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e437f45fafd:0x5430112d0722e7e4!8m2!3d51.4580895!4d-2.565723?hl=en",Salt & Pepper51.4580895-2.565723
bs4,97,The Terrace Grill Restaurant,"Bristol Marriott Hotel City Centre, 2 Lower Castle St, Bristol BS1 3AD",Bristol Marriott Hotel City Centre,2 Lower Castle St,Bristol,BS1 3AD,FC48+C3 Bristol,marriott.co.uk,0117 929 4281,,51.4560903,-2.5848257,No,No,Restaurant,5,6 reviews,,3 Photos,https://lh5.googleusercontent.com/p/AF1QipNHQ-ncIJKbt6GAQ2Kwk8q-_WUJkOJjcdD4c5pN=w408-h726-k-no,,6–10pm,6–10pm,6–10pm,Closed,6–10pm,6–10pm,Closed,"https://www.google.com/maps/place/The+Terrace+Grill+Restaurant/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e706b01858d:0x698940f89c29c7f7!8m2!3d51.4560903!4d-2.5848257?hl=en",The Terrace Grill Restaurant51.4560903-2.5848257
bs4,96,Miss Millies Fried Chicken,"312 Wells Rd, Bristol BS4 2QG",,312 Wells Rd,Bristol,BS4 2QG,CCMM+R9 Bristol,missmillies.co.uk,0117 977 6348,info@missmillies.co.uk,51.434551,-2.566519,No,Yes,Fried chicken takeaway,3.5,34 reviews,,4 Photos,https://lh5.googleusercontent.com/p/AF1QipMh0NBWwkxDW15cR3jerF9Wb70b_1qMMfJpbruQ=w408-h544-k-no,,11am–12am,11am–12am,11am–1am,11am–1am,11am–3am,11am–3am,12pm–1am,"https://www.google.com/maps/place/Miss+Millies+Fried+Chicken/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718ef2822005ff:0x440a6a019a83ebf6!8m2!3d51.434551!4d-2.566519?hl=en",Miss Millies Fried Chicken51.434551-2.566519
bs4,95,Cafe Spice,"154 West St, Bristol BS3 3LY",,154 West St,Bristol,BS3 3LY,C9PV+GH Bristol,cafespice-bristol.co.uk,0117 953 3623,,51.436306,-2.606113,No,Yes,Indian restaurant,4.3,32 reviews,,,//geo0.ggpht.com/cbk?panoid=w1gELOJfe-IsYJhgt0zW5w&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=320.79584&pitch=0&thumbfov=100,,Closed,5:30–11pm,5:30–11pm,5:30–11pm,5:30–11pm,5:30–11pm,5:30–11pm,"https://www.google.com/maps/place/Cafe+Spice/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718c2e2b5b81ef:0x9b9019d523d04824!8m2!3d51.436306!4d-2.606113?hl=en",Cafe Spice51.436306-2.606113
bs4,94,La Grotta,"9 Union St, Bristol BS1 2DD",,9 Union St,Bristol,BS1 2DD,FC45+9J Bristol,lagrottabristol.co.uk,0117 929 0466,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com,51.4559429,-2.5909834,No,Yes,Italian restaurant,4.4,401 reviews,,110+ Photos,https://lh5.googleusercontent.com/p/AF1QipO77Ycdo0Zn11lOofBUpwDwlcls3RVktvpGzclM=w408-h305-k-no,,"11:45am–2pm, 5–10pm","11:45am–2pm, 5–10pm","11:45am–2pm, 5–10pm","11:45am–2pm, 5–10pm","11:45am–2pm, 5–10:30pm",11:30am–10:30pm,Closed,"https://www.google.com/maps/place/La+Grotta/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e77414cf3d9:0x8ba7ecf65ffa3544!8m2!3d51.4559429!4d-2.5909834?hl=en",La Grotta51.4559429-2.5909834
bs4,93,Nando's,"Glasshouse, Cabot Circus, Bristol BS1 3BX",Glasshouse,Cabot Circus,Bristol,BS1 3BX,FC58+75 Bristol,nandos.co.uk,0117 376 3876,,51.4582049,-2.5845598,No,No,Chicken restaurant,4.1,322 reviews,,47+ Photos,https://lh5.googleusercontent.com/p/AF1QipNeEknoIvMqGYn7tW-dJUFbHYhVlDMry7QtRomU=w408-h306-k-no,,11am–10pm,11am–10pm,11am–11pm,11am–11pm,11am–11pm,11am–11pm,11am–10pm,"https://www.google.com/maps/place/Nando's/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e71c6a76f91:0x6d4397d1b5b9bf6f!8m2!3d51.4582049!4d-2.5845598?hl=en",Nando's51.4582049-2.5845598
bs4,92,Ganesha,"54-56 Bedminster Parade, Bristol BS3 4HS",,54-56 Bedminster Parade,Bristol,BS3 4HS,CCV4+MR Bristol,ganeshaindiancuisine.com,0117 953 3990,kyle@theatresonline.com,51.4441659,-2.5929858,No,Yes,Indian restaurant,4.3,243 reviews,,55+ Photos,//lh6.googleusercontent.com/proxy/CahY1pFSy6n5zPXRS2jsqUon94UaSsx5IKX53RpD7Vw-v8FskkpjjvzqKZte4qzzkwu6lQv5_lEyaZTtoxMfyTorZdEEtOrIFZmhLU3BeNA5B5S0-N9tATF_r59ptpSQ3V1rUH424VzpFvBp0Tn34G838Mhwlg=w408-h221-k-no,,5:30–11pm,5:30–11pm,5:30–11pm,5:30–11pm,5:30–11pm,5:30–11pm,5:30–10pm,"https://www.google.com/maps/place/Ganesha/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e800e9d72e9:0x24909e2d8e5dbf6b!8m2!3d51.4441659!4d-2.5929858?hl=en",Ganesha51.4441659-2.5929858
bs4,91,Cathay Rendezvous,"Georgian building, 30 King St, Bristol BS1 4DZ",Georgian building,30 King St,Bristol,BS1 4DZ,FC23+PV Bristol,cathay-rendezvous.com,0117 922 6161,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com,51.4518414,-2.5953032,Yes,Yes,Chinese restaurant,4.4,205 reviews,,121+ Photos,https://lh5.googleusercontent.com/p/AF1QipMtoojZPKiVq6hFMEhsKplQ_lRnn4lSx1dsx5g_=w408-h270-k-no,,Closed,"12–2:30pm, 5:30–10:30pm","12–2:30pm, 5:30–10:30pm","12–2:30pm, 5:30–10:30pm","12–2:30pm, 5:30–11pm","12–2:30pm, 5:30–11pm","12:23–3pm, 5:30–10pm","https://www.google.com/maps/place/Cathay+Rendezvous/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e7883b72c9b:0xd6592f888b96c6d7!8m2!3d51.4518414!4d-2.5953032?hl=en",Cathay Rendezvous51.4518414-2.5953032
bs4,90,Dela,"Mivart Street, Bristol BS5 6JF",,Mivart Street,Bristol,BS5 6JF,FC9Q+92 Bristol,delabristol.com,0117 951 1499,info@delabristol.com,51.4684029,-2.5624211,No,Yes,Restaurant,4.7,175 reviews,,64+ Photos,https://lh5.googleusercontent.com/p/AF1QipORkapAz650CCSPyOR_0l0GXtKLJaNcssCvoRjf=w408-h306-k-no,,Closed,9am–11pm,9am–11pm,9am–11pm,9am–11pm,9am–11pm,10am–3pm,"https://www.google.com/maps/place/Dela/@51.4684029,-2.5799306,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e3853adf5c3:0x7a5db9753ccc4ddf!8m2!3d51.4684029!4d-2.5624211?hl=en",Dela51.4684029-2.5624211
