Keyword,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Closed,Category,Rating,5_Star,4_Star,3_Star,2_Star,1_Star,Total_Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
art near london E1,Rich Mix,"35-47 Bethnal Green Rd, Shoreditch, London E1 6LA",35-47 Bethnal Green Rd,Shoreditch,London,E1 6LA,GWFG+QP London,richmix.org.uk,020 7613 7498,boxoffice@richmix.org.uk,51.5243955,-0.0731968,Yes,Yes,Opens at 10:00,Events Venue,4.4,816,424,105,24,19,1388,,775+ Photos,https://lh5.googleusercontent.com/p/AF1QipONGfAniH_utBqaMQ0sBzVcYikLOaQaihSfbe_C=w426-h240-k-no,,9am–11pm,9am–11pm,9am–11pm,9am–11pm,9am–11pm,10am–11pm,10am–11pm,"https://www.google.com/maps/place/Rich+Mix/@51.51898,-0.0766059,14z/data=!4m8!1m2!2m1!1sart+near+london+E1!3m4!1s0x48761cb773453e0d:0xd118b06abc74934c!8m2!3d51.5243955!4d-0.0731968?hl=en"
art near london E1,Brady Arts & Community Centre,"192-196 Hanbury St, Whitechapel, London E1 5HU",192-196 Hanbury St,Whitechapel,London,E1 5HU,"GW9M+VR Shadwell, London",towerhamletsarts.org.uk,020 7364 7900,,51.519658,-0.0654114,No,No,Closed,Art Centre,4.1,72,39,28,4,6,149,,93+ Photos,https://lh5.googleusercontent.com/p/AF1QipOsSji4NUf-bJZUG1T481GOXZbNgzSmlySKlvJy=w426-h240-k-no,,9am–7pm,9am–7pm,9am–7pm,9am–7pm,9am–7pm,10:30am–5pm,Closed,"https://www.google.com/maps/place/Brady+Arts+%26+Community+Centre/@51.51898,-0.0766059,14z/data=!4m8!1m2!2m1!1sart+near+london+E1!3m4!1s0x48761ccbee4a82f3:0xbefbe1bba027434e!8m2!3d51.519658!4d-0.0654114?hl=en"
art near london E1,5th Base Gallery,"23 Heneage St, Spitalfields, London E1 5LJ",23 Heneage St,Spitalfields,London,E1 5LJ,GW9H+HP London,5thbase.co.uk,07738 949714,"diana@5thbase.co.uk,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com",51.5189905,-0.0706484,No,Yes,Opens at 11:00,Art gallery,4.3,36,14,11,1,2,64,,80+ Photos,,,11am–8pm,11am–8pm,11am–8pm,11am–8pm,11am–8pm,11am–8pm,11am–8pm,"https://www.google.com/maps/place/5th+Base+Gallery/@51.51898,-0.0766059,14z/data=!4m8!1m2!2m1!1sart+near+london+E1!3m4!1s0x48761cb5f4e140a7:0x93fdf8b452f03765!8m2!3d51.5189905!4d-0.0706484?hl=en"
art near london E1,GALLERY 46,"46 Ashfield St, Whitechapel, London E1 2AJ",46 Ashfield St,Whitechapel,London,E1 2AJ,"GW8R+J4 Whitechapel, London",gallery46.co.uk,020 3645 5062,info@gallery46.co.uk,51.516603,-0.0596764,No,No,Closed,Art gallery,4.1,9,4,0,2,1,16,,7 Photos,https://lh5.googleusercontent.com/p/AF1QipNP-fdpCDnRE89ZE8W_uUsLp7RzPUkSy6cS1lt1=w408-h544-k-no,,Closed,12–6pm,12–6pm,12–6pm,12–6pm,12–6pm,Closed,"https://www.google.com/maps/place/GALLERY+46/@51.51898,-0.0766059,14z/data=!4m8!1m2!2m1!1sart+near+london+E1!3m4!1s0x48761ccd6ebb950b:0xfe7dab6d6e0c15fa!8m2!3d51.516603!4d-0.0596764?hl=en"
art near london E1,Leyden Gallery Ltd,"9 Leyden St, Spitalfields, London E1 7LE",9 Leyden St,Spitalfields,London,E1 7LE,GW8F+QG London,leydengallery.com,020 7655 4825,info@leydengallery.com,51.5169127,-0.0761441,No,Yes,Closed,Art gallery,4.6,21,8,2,0,0,31,,31 Photos,https://lh5.googleusercontent.com/p/AF1QipPgzuePCTeXqJjgFY-btTq_tEG4LClZuTsXudFX=w408-h408-k-no,,Closed,11am–10pm,11am–10pm,11am–10pm,11am–10pm,11am–10pm,Closed,"https://www.google.com/maps/place/Leyden+Gallery+Ltd/@51.51898,-0.0766059,14z/data=!4m8!1m2!2m1!1sart+near+london+E1!3m4!1s0x48761cb49d5b477f:0xd81058ba4dba1ded!8m2!3d51.5169127!4d-0.0761441?hl=en"
art near london E1,StolenSpace Gallery,"17 Osborn St, Shadwell, London E1 6TD",17 Osborn St,Shadwell,London,E1 6TD,"GW8H+HW Shadwell, London",stolenspace.com,020 7247 2684,contact@stolenspace.com,51.5164658,-0.070228,No,No,Opens at 11:00,Art gallery,4.7,15,4,1,0,0,20,,42 Photos,https://lh5.googleusercontent.com/p/AF1QipPgozjl6hvJnRjU6VxhDYXROtOdYmWm0VY-Ne8=w408-h725-k-no,,Closed,11am–6:30pm,11am–6:30pm,11am–6:30pm,11am–6:30pm,11am–6pm,11am–6pm,"https://www.google.com/maps/place/StolenSpace+Gallery/@51.51898,-0.0766059,14z/data=!4m8!1m2!2m1!1sart+near+london+E1!3m4!1s0x48761cb6159e0073:0xcaa564aeb395e74!8m2!3d51.5164658!4d-0.070228?hl=en"
art near london E10,The Brick Lane Gallery,"216 Brick Ln, London E1 6SA",,216 Brick Ln,London,E1 6SA,GWFH+VC London,thebricklanegallery.com,020 7729 9721,info@thebricklanegallery.com,51.5247127,-0.0714874,Yes,Yes,Closed.,Art gallery,4.1,52,24,2,0,15,93,,85+ Photos,https://lh5.googleusercontent.com/p/AF1QipPuUixTq7C45yeIQ0LFZdc7qU61JhxNYcq_OC2j=w408-h272-k-no,,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–6pm,12–6pm,"https://www.google.com/maps/place/The+Brick+Lane+Gallery/@51.5668296,-0.0578087,13z/data=!4m8!1m2!2m1!1sart+near+london+E10!3m4!1s0x48761cb7c3906859:0x8c68f8ebb2cd71e0!8m2!3d51.5247127!4d-0.0714874?hl=en"
art near london E10,The Old Bank Vault,"283 Hackney Rd, London E2 8NA",,283 Hackney Rd,London,E2 8NA,GWJJ+FW London,theoldbankvault.com,020 7012 1210,contact@theoldbankvault.com,51.531164,-0.067715,Yes,Yes,Closed.,Art gallery,4.8,19,2,1,0,0,22,,85+ Photos,https://lh5.googleusercontent.com/p/AF1QipMmljkbRO5uYgMVOq9rcOJWX43GqFK5YgX7qkuk=w408-h272-k-no,,Closed,Closed,11am–5pm,11am–5pm,11am–5pm,11am–5pm,11am–4pm,"https://www.google.com/maps/place/The+Old+Bank+Vault/@51.5668296,-0.0578087,13z/data=!4m8!1m2!2m1!1sart+near+london+E10!3m4!1s0x48761cc0d6603ca3:0x906a9d06f722ed13!8m2!3d51.531164!4d-0.067715?hl=en"
art near london E10,Raven Row,"56 Artillery Ln, Spitalfields, London E1 7LS",56 Artillery Ln,Spitalfields,London,E1 7LS,GW9F+67 London,ravenrow.org,020 7377 4300,info@ravenrow.org,51.5181243,-0.0767963,No,Yes,,Art gallery,4.8,29,7,1,0,0,37,,74+ Photos,https://lh5.googleusercontent.com/p/AF1QipNO5a653IONoqw3L3tugpSnqoUjZqvj9SVZXyTz=w480-h240-k-no,,,,,,,,,"https://www.google.com/maps/place/Raven+Row/@51.5668296,-0.0578087,13z/data=!4m8!1m2!2m1!1sart+near+london+E10!3m4!1s0x48761cb385c72f71:0x7c1ef4ad04b63bfb!8m2!3d51.5181243!4d-0.0767963?hl=en"
art near london E11,PUBLIC Gallery,"17 Amhurst Terrace, Hackney Downs, London E8 2BT",17 Amhurst Terrace,Hackney Downs,London,E8 2BT,HW3M+V7 London,publicgallery.co,020 8088 2443,hello@publicgallery.co,51.5547041,-0.0668128,No,Yes,Closed today,Art gallery,4.5,13,5,1,0,1,20,,23 Photos,https://lh5.googleusercontent.com/p/AF1QipM8Cp16C9GYjkFmVJY2xilFS32bqfyMmWPbjRMu=w408-h240-k-no,,Closed,11am–6pm,11am–6pm,11am–6pm,11am–6pm,11am–5pm,Closed,"https://www.google.com/maps/place/PUBLIC+Gallery/@51.5547041,-0.0843223,14z/data=!4m8!1m2!2m1!1sart+near+london+E11!3m4!1s0x48761cf5add7b915:0xd49bd57a635e9bfc!8m2!3d51.5547041!4d-0.0668128?hl=en"
