unique_key,gmap_category,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
Las Vegas1300.88859635318,restaurant,Las Vegas,"53, Sfântul Lazăr, nr, Iași 700259, Romania","53,  Sfântul Lazăr",Iași 700259,Romania,a,"5H3Q+3G Iași, Romania",,+40 729 379 090,,47.152675,27.588861,No,Yes,Casino,,,,18 Photos,https://lh5.googleusercontent.com/p/AF1QipMD7tEg993fuGuMCh92SVXghWaqYjpFk6I5A2YT=w440-h240-k-no,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/place/Las+Vegas/@47.152675,27.5844836,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb3fe670b85b:0x37afa44e62a00643!8m2!3d47.152675!4d27.588861?hl=en"
Unirea Hotel & Spa1300.88409812273,restaurant,Unirea Hotel & Spa,"Piața Unirii nr. 5, Iași 700056, Romania",Piața Unirii nr. 5,Iași 700056,Romania,a,"5H8J+M6 Iași, Romania",hotelunirea.ro,+40 232 205 000,,47.1667371,27.5805404,Yes,Yes,,4.4,"-1,675","Indoor Pool, Air-conditioned, Laundry service, Business centre, Pet-friendly, Room service",2479+ Photos,https://lh5.googleusercontent.com/p/AF1QipM_levgbziqh0tEX6s8fBwTPwZ3fACIWc5r3dSh=w480-h240-k-no,,,,,,,,,"https://www.google.com/maps/place/Unirea+Hotel+%26+Spa/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb7ba463a835:0x1fb7bbb1133b06f8!8m2!3d47.1667371!4d27.5805404?hl=en"
The Trumpets1301.06075862155,restaurant,The Trumpets,"Esplanada Teatrul Luceafărul, Iași 700259, Romania",Esplanada Teatrul Luceafărul,Iași 700259,Romania,a,"5H5Q+7P Iași, Romania",facebook.com,+40 786 364 316,,47.1581813,27.5892904,No,Yes,Pub,4.5,-429,,127+ Photos,https://lh5.googleusercontent.com/p/AF1QipME01iChvEbDpkFiVXXXBX-ylBuhpztPrJ7_N0d=w426-h240-k-no,,9am–2:30am,9am–2:30am,9am–2:30am,9am–2:30am,9am–4:30am,9am–4:30am,9am–2:30am,"https://www.google.com/maps/place/The+Trumpets/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb9c4f7fad63:0xb8d783f67de4d926!8m2!3d47.1581813!4d27.5892904?hl=en"
La Palia1301.48831816562,restaurant,La Palia,"Strada Bucium, Iași 700284, Romania",Strada Bucium,Iași 700284,Romania,a,"4JH7+WX Iași, Romania",lapalia.ro,+40 232 277 235,,47.1297607,27.6149995,No,Yes,Restaurant,3.5,-143,,67+ Photos,https://lh5.googleusercontent.com/p/AF1QipOreb3_VqoGykVgewKO5RMei0ZG-nHSG1QPAkfG=w408-h272-k-no,,,,,,,,,"https://www.google.com/maps/place/La+Palia/@47.1297607,27.6106221,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbd6b5775993:0x1fba3db41a7be944!8m2!3d47.1297607!4d27.6149995?hl=en"
Petru1301.69370199148,restaurant,Petru,"Bulevardul Tudor Vladimirescu nr. 109, Iași 700560, Romania",Bulevardul Tudor Vladimirescu nr. 109,Iași 700560,Romania,a,"5J43+MC Iași, Romania",simigeriapetru.ro,+40 751 888 000,,47.1567114,27.6035725,No,No,Bakery,3.3,-27,,4 Photos,https://lh5.googleusercontent.com/p/AF1QipMp-8bNTN9Pj4UkAzxqF_v2yJxDYgPqd2ryENSV=w426-h240-k-no,,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,"https://www.google.com/maps/place/Petru/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb9035afe75b:0x3391c49e7e3c399e!8m2!3d47.1567114!4d27.6035725?hl=en"
Pensiunea La Palia1301.49384030035,restaurant,Pensiunea La Palia,"Șoseaua Bucium 51, Iași, Romania",Șoseaua Bucium 51,Iași,Romania,a,"4JH8+W2 Iași, Romania",,+40 748 500 249,,47.1298127,27.6150862,No,No,,3.5,-6,Child friendly,21 Photos,//lh3.googleusercontent.com/proxy/itczmqjffL28A0J_ttXUvkxXmW6z_EzD3QuuC8XVzzhWX8ZCijtrfBeOJwpF8AFIkawkNFHkrNsW-UNFT12BrFIMAF5o8tb0oDgfZxrg4uIZqvHpS-xvA4654_XbPZjEHz2iae4-WgWQKxnprZBvpwhqKG8Y2Z4=w408-h271-k-no,,,,,,,,,"https://www.google.com/maps/place/Pensiunea+La+Palia/@47.1298127,27.6107088,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbd14ab02109:0x880988c8df8910c2!8m2!3d47.1298127!4d27.6150862?hl=en"
Gods' Feast1300.91938829123,restaurant,Gods' Feast,"Strada Palas 7A, Iași 700051, Romania",Strada Palas 7A,Iași 700051,Romania,a,"5H3Q+X7 Iași, Romania",palasmall.ro,,,47.1549537,27.5881808,No,No,Romanian restaurant,2.9,-30,,6 Photos,https://lh5.googleusercontent.com/p/AF1QipPN0y_vHY1JBTikMF8ikXj2nEj7DkrHDAqiQIAx=w408-h306-k-no,Ospățul Zeilor,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,"https://www.google.com/maps/place/Gods'+Feast/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb9ec8f598b1:0x78bfdc22de454ff3!8m2!3d47.1549537!4d27.5881808?hl=en"
Sofia Sky Lounge1300.85064942538,restaurant,Sofia Sky Lounge,"Strada Palat 5A, Iași 700032, Romania",Strada Palat 5A,Iași 700032,Romania,a,"5H3P+WP Iași, Romania",facebook.com,+40 720 300 449,,47.154807,27.5868089,No,Yes,Lounge,4.6,-49,,22 Photos,https://lh5.googleusercontent.com/p/AF1QipMPEvVcpOlyTB-AdQXvPmGF13-PkQ878Mc8jCBo=w426-h240-k-no,,6pm–12am,6pm–12am,6pm–12am,6pm–12am,6pm–12am,6pm–12am,Closed,"https://www.google.com/maps/place/Sofia+Sky+Lounge/@47.1524285,27.5880572,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb9ee76f1889:0xfeae78d7b6cc7436!8m2!3d47.154807!4d27.5868089?hl=en"
Take&Eat1301.06698636178,restaurant,Take&Eat,"Bulevardul Socola nr. 104, Iași 700198, Romania",Bulevardul Socola nr. 104,Iași 700198,Romania,a,"4HRX+VG Iași, Romania",takeandeat.ro,+40 755 517 555,,47.1422103,27.5987693,No,Yes,Fast food restaurant,3.9,-134,,16 Photos,https://lh5.googleusercontent.com/p/AF1QipPKC3o1p7S_N8voMThrDjmL9HNk82Cb7PQbdZ7B=w408-h271-k-no,,7am–10pm,7am–10pm,7am–10pm,7am–10pm,7am–10pm,8am–10pm,8am–10pm,"https://www.google.com/maps/place/Take%26Eat/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbb8c3415143:0x978adb2c213ad3d!8m2!3d47.1422103!4d27.5987693?hl=en"
Clubul Bursei1300.81569146952,restaurant,Clubul Bursei,"Strada Alexandru Lăpușneanu nr. 3, Iași 700057, Romania",Strada Alexandru Lăpușneanu nr. 3,Iași 700057,Romania,a,"5H8H+MJ Iași, Romania",clubulbursei.ro,+40 232 270 904,,47.1667198,27.5791002,No,No,Restaurant,3.7,-110,,57+ Photos,https://lh5.googleusercontent.com/p/AF1QipMTllIDnjGR80aNgh0YETwGRpyIBqgJGHKUl9vn=w408-h306-k-no,,9:30am–11:45pm,9:30am–11:45pm,9:30am–11:45pm,9:30am–11:45pm,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/place/Clubul+Bursei/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb7ae25bb40f:0x9806171020589254!8m2!3d47.1667198!4d27.5791002?hl=en"
